"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"529",628317,"Maeda, Kenta","0",,"0.350","0.244","0.379","0.594","0.403","0.354","0.301","63","180","90.4","16.2","2239","85.3","84.40","76","376","153","-0.9","5.84","106","159","116","149","301","331","296"
"526",452657,"Lester, Jon","0",,"0.346","0.267","0.342","0.613","0.398","0.345","0.289","66","191","89.6","11.9","2163","86.3","86.80","63","383","143","0.5","6.46","107","151","114","148","306","321","293"
"522",656849,"Peterson, David","0",,"0.308","0.242","0.343","0.549","0.363","0.382","0.327","56","182","91.4","10.4","2088","89.2","90.45","63","363","159","1.2","7.11","111","152","111","149","300","326","297"
"520",656288,"Canning, Griffin","0",,"0.322","0.284","0.331","0.607","0.393","0.331","0.282","59","183","91.3","17.1","2279","89.9","88.62","85","384","136","-1.3","5.81","114","157","118","152","302","325","301"
"515",608379,"Wacha, Michael","0",,"0.304","0.254","0.308","0.558","0.364","0.408","0.333","55","181","92.2","17.1","1962","90.1","90.91","57","370","145","0.8","6.80","106","158","116","149","303","323","295"
"500",663460,"Bubic, Kris","0",,"0.335","0.297","0.325","0.633","0.414","0.411","0.324","53","158","92.0","10.4","1939","85.3","85.56","53","328","172","0.3","6.62","106","157","120","145","301","322","302"
"497",669211,"Akin, Keegan","0",,"0.368","0.250","0.395","0.618","0.413","0.396","0.328","53","144","92.2","18.2","2273","88.3","87.57","69","350","147","-0.7","5.93","107","151","117","148","300","321","294"
"497",676840,"Peacock, Matt","0",,"0.352","0.249","0.349","0.601","0.404","0.338","0.296","68","193","91.8","6.2","2142","91.6","84.15","39","344","153","-7.5","5.34","110","152","116","150","299","327","298"
"496",663556,"McClanahan, Shane","0",,"0.293","0.234","0.305","0.527","0.347","0.345","0.301","49","167","89.5","8.1","2309","92.6","93.40","68","344","152","0.8","6.75","104","153","116","148","300","318","291"
"494",668676,"Plesac, Zach","0",,"0.269","0.251","0.248","0.520","0.330","0.344","0.276","47","175","91.4","10.3","1944","88.9","88.99","67","355","139","0.1","6.22","113","155","120","150","296","323","295"
"493",533167,"Shoemaker, Matt","0",,"0.347","0.323","0.297","0.671","0.421","0.406","0.326","58","167","91.0","14.1","1879","87.1","86.59","47","348","145","-0.5","6.09","106","157","114","150","301","333","297"
"491",518633,"Duffy, Danny","0",,"0.278","0.173","0.312","0.451","0.317","0.347","0.294","45","162","91.6","18.2","2320","89.5","90.31","73","332","159","0.8","6.75","107","159","116","144","298","321","295"
"487",594835,"Gonzales, Marco","0",,"0.333","0.388","0.308","0.721","0.438","0.462","0.355","55","165","92.8","21.4","2185","83.8","83.61","51","327","160","-0.2","6.34","108","153","113","147","296","322","292"
"485",501381,"Pineda, Michael","0",,"0.287","0.293","0.279","0.579","0.359","0.372","0.307","47","164","92.1","18.2","1934","88.4","87.92","43","320","165","-0.5","6.25","107","158","111","150","302","329","294"
"483",640444,"Crowe, Wil","0",,"0.331","0.288","0.321","0.620","0.402","0.383","0.316","54","163","90.9","15.2","2364","89.2","89.54","47","321","162","0.3","6.41","109","151","118","148","299","320","288"
"483",665152,"Kremer, Dean","0",,"0.298","0.286","0.283","0.584","0.369","0.353","0.289","48","161","94.0","19.9","2343","89.2","88.82","43","323","160","-0.4","6.27","109","152","117","149","303","324","296"
"481",615698,"Quantrill, Cal","0",,"0.295","0.175","0.311","0.470","0.325","0.359","0.314","54","183","89.8","12.6","2055","91.1","91.83","58","336","145","0.7","6.58","112","154","117","149","292","319","293"
"481",543243,"Gray, Sonny","0",,"0.269","0.166","0.328","0.434","0.302","0.289","0.269","47","175","88.8","8.1","2519","88.5","88.58","48","285","196","0.1","6.49","112","154","117","148","292","316","290"
"481",621076,"Kaprielian, James","0",,"0.237","0.263","0.239","0.500","0.309","0.322","0.261","37","156","93.6","22.4","1982","89.1","88.66","72","324","157","-0.4","5.93","113","150","119","151","300","328","303"
"480",669145,"Zimmermann, Bruce","0",,"0.353","0.243","0.355","0.595","0.400","0.428","0.356","61","173","92.7","14.4","2285","87.4","86.50","59","318","162","-0.9","6.22","108","153","120","149","302","324","297"
"479",502171,"Cobb, Alex","0",,"0.306","0.156","0.362","0.463","0.326","0.326","0.311","45","147","92.3","3.9","2050","89.3","88.28","47","284","195","-1.0","5.77","114","157","114","149","304","325","299"
"479",677960,"Weathers, Ryan","0",,"0.260","0.197","0.270","0.457","0.307","0.350","0.303","45","173","90.9","10.5","2069","91.6","90.66","53","330","149","-0.9","5.71","113","153","129","145","301","321","309"
"478",641778,"Lauer, Eric","0",,"0.263","0.212","0.279","0.474","0.320","0.317","0.263","41","156","88.2","18.8","2227","89.5","81.03","70","325","153","-8.5","5.96","107","155","118","148","301","323","295"
"462",641771,"Kuhl, Chad","0",,"0.260","0.188","0.262","0.448","0.295","0.284","0.260","40","154","88.1","11.3","2266","89.6","89.59","58","295","167","0.0","6.58","108","149","115","147","298","320","291"
"453",656605,"Keller, Mitch","0",,"0.301","0.247","0.327","0.548","0.358","0.339","0.294","44","146","92.3","14.3","2379","90.3","89.95","41","299","154","-0.3","6.07","109","151","119","148","301","321","290"
"446",643290,"Dunn, Justin","0",,"0.221","0.160","0.231","0.382","0.254","0.317","0.262","29","131","91.1","22.3","2412","88.4","88.58","51","297","149","0.2","6.52","111","154","112","149","293","325","299"
"440",670912,"Oviedo, Johan","0",,"0.274","0.204","0.271","0.478","0.319","0.373","0.317","43","157","88.5","7.9","2326","90.3","91.23","53","300","140","0.9","7.09","114","152","114","148","297","318","299"
"439",663776,"Sandoval, Patrick","0",,"0.281","0.192","0.298","0.473","0.318","0.307","0.275","41","146","88.7","3.2","2108","88.5","88.10","78","297","142","-0.4","6.02","110","156","116","150","302","324","296"
"432",676596,"Fleming, Josh","0",,"0.244","0.175","0.230","0.419","0.281","0.327","0.292","39","160","89.4","2.6","1792","87.8","87.83","39","298","134","0.0","6.42","104","154","115","149","303","319","291"
"421",592866,"Williams, Trevor","0",,"0.356","0.260","0.387","0.616","0.412","0.358","0.313","52","146","93.2","11.5","2185","88.4","89.51","44","276","145","1.1","6.83","112","154","117","149","300","325","296"
"420",543606,"Odorizzi, Jake","0",,"0.258","0.189","0.274","0.447","0.302","0.357","0.297","34","132","91.5","15.8","2008","89.9","88.82","54","307","113","-1.1","6.12","114","155","118","152","289","325","294"
"416",669302,"Gilbert, Logan","0",,"0.258","0.195","0.292","0.453","0.299","0.322","0.268","33","128","92.0","17.7","2141","91.1","93.38","67","310","106","2.3","7.57","114","156","115","149","292","318","293"
"405",650633,"King, Michael","0",,"0.277","0.163","0.315","0.440","0.304","0.320","0.274","39","141","91.2","8.7","2306","91.4","91.15","54","270","135","-0.3","6.20","110","153","118","149","300","327","287"
"402",664285,"Valdez, Framber","0",,"0.297","0.123","0.318","0.419","0.309","0.283","0.271","46","155","90.9","-4.5","2252","88.3","87.36","35","254","148","-0.9","5.89","109","153","117","149","292","326","292"
"401",657277,"Webb, Logan","0",,"0.326","0.152","0.364","0.477","0.345","0.326","0.306","43","132","90.4","4.0","2071","89.0","88.08","37","235","166","-0.9","6.78","109","154","112","149","299","320","293"
